edge_id,charge_node_id,charge_node_distance,场站名称,充电车位数
4817,19830.0,938.0,MA5DT8Q54,10
4819,19830.0,938.0,MA5DT8Q54,10
4823,20830.0,815.0,MA01H3BQ1,10
4825,21140.0,946.0,MA01H3BQ1,10
4831,19830.0,669.0,MA5DT8Q54,10
4836,21140.0,568.0,MA01H3BQ1,10
4838,21140.0,546.0,MA01H3BQ1,10
4839,19830.0,378.0,MA5DT8Q54,10
4840,19830.0,305.0,MA5DT8Q54,10
4843,19830.0,485.0,MA5DT8Q54,10
4845,21140.0,546.0,MA01H3BQ1,10
4846,21140.0,452.0,MA01H3BQ1,10
4848,21140.0,464.0,MA01H3BQ1,10
4849,21140.0,464.0,MA01H3BQ1,10
4851,21140.0,791.0,MA01H3BQ1,10
4852,21140.0,546.0,MA01H3BQ1,10
4856,19830.0,378.0,MA5DT8Q54,10
4857,19830.0,305.0,MA5DT8Q54,10
4858,19830.0,198.0,MA5DT8Q54,10
4877,21140.0,327.0,MA01H3BQ1,10
4915,19830.0,198.0,MA5DT8Q54,10
4920,20838.0,978.0,MA01H3BQ1,10
4943,20850.0,845.0,MA01H3BQ1,10
4944,20850.0,762.0,MA01H3BQ1,10
4945,20850.0,527.0,MA01H3BQ1,10
4946,20850.0,757.0,MA01H3BQ1,10
4947,20850.0,643.0,MA01H3BQ1,10
4948,20850.0,762.0,MA01H3BQ1,10
4949,20850.0,643.0,MA01H3BQ1,10
4954,20850.0,521.0,MA01H3BQ1,10
4955,20850.0,521.0,MA01H3BQ1,10
4958,20850.0,643.0,MA01H3BQ1,10
4959,20850.0,806.0,MA01H3BQ1,10
4960,20850.0,527.0,MA01H3BQ1,10
4961,20850.0,521.0,MA01H3BQ1,10
4968,20850.0,929.0,MA01H3BQ1,10
4970,20850.0,375.0,MA01H3BQ1,10
4980,20850.0,935.0,MA01H3BQ1,10
4981,20850.0,935.0,MA01H3BQ1,10
4982,20850.0,519.0,MA01H3BQ1,10
4984,20850.0,929.0,MA01H3BQ1,10
4987,21132.0,990.0,MA01H3BQ1,10
4988,21132.0,901.0,MA01H3BQ1,10
4989,21132.0,990.0,MA01H3BQ1,10
4992,21132.0,880.0,MA01H3BQ1,10
4993,21132.0,880.0,MA01H3BQ1,10
4994,21132.0,997.0,MA01H3BQ1,10
4996,21132.0,976.0,MA01H3BQ1,10
4997,21132.0,736.0,MA01H3BQ1,10
4998,21132.0,736.0,MA01H3BQ1,10
5012,19830.0,691.0,MA5DT8Q54,10
5017,19735.0,740.0,MA5DT8Q54,10
5018,19735.0,949.0,MA5DT8Q54,10
5019,19735.0,612.0,MA5DT8Q54,10
5020,20869.0,539.0,MA01H3BQ1,10
5021,19735.0,495.0,MA5DT8Q54,10
5022,20869.0,672.0,MA01H3BQ1,10
5025,20869.0,812.0,MA01H3BQ1,10
5026,19735.0,612.0,MA5DT8Q54,10
5027,20869.0,830.0,MA01H3BQ1,10
5028,20869.0,830.0,MA01H3BQ1,10
5029,20869.0,764.0,MA01H3BQ1,10
5030,19598.0,738.0,MA5DT8Q54,10
5030,19598.0,738.0,MA5DT8Q54,10
5031,19598.0,473.0,MA5DT8Q54,10
5031,19598.0,473.0,MA5DT8Q54,10
5032,19598.0,738.0,MA5DT8Q54,10
5032,19598.0,738.0,MA5DT8Q54,10
5033,19735.0,946.0,MA5DT8Q54,10
5034,19598.0,738.0,MA5DT8Q54,10
5034,19598.0,738.0,MA5DT8Q54,10
5036,19598.0,843.0,MA5DT8Q54,10
5036,19598.0,843.0,MA5DT8Q54,10
5037,19598.0,574.0,MA5DT8Q54,10
5037,19598.0,574.0,MA5DT8Q54,10
5038,19598.0,738.0,MA5DT8Q54,10
5038,19598.0,738.0,MA5DT8Q54,10
5044,19598.0,700.0,MA5DT8Q54,10
